language,author,title,length,unique
English,shakespeare,A Midsummer Night's Dream.txt,15237,4577
English,shakespeare,Hamlet.txt,26701,7299
English,shakespeare,Macbeth.txt,15779,5136
English,shakespeare,Othello.txt,24740,6313
English,shakespeare,Richard III.txt,34288,6219
English,shakespeare,Romeo and Juliet.txt,28593,5617
English,shakespeare,The Merchant of Venice.txt,19832,5198
French,chevalier,L'enfer et le paradis de l'autre monde.txt,39714,11078
French,chevalier,L'åle de sable.txt,69401,19444
French,chevalier,La capitaine.txt,43849,13415
French,chevalier,La fille des indiens rouges.txt,64813,18332
French,chevalier,La fille du pirate.txt,47372,15076
French,chevalier,Le chasseur noir.txt,49542,13348
French,chevalier,Les derniers Iroquois.txt,53217,16115
French,de Maupassant,Boule de Suif.txt,35326,11178
French,de Maupassant,Claire de Lune.txt,25279,8467
French,de Maupassant,Contes de la Becasse.txt,33637,10690
French,de Maupassant,L'inutile beautÇ.txt,36968,11088
French,de Maupassant,La Main Gauche.txt,33265,10240
French,de Maupassant,La Maison Tellier.txt,43323,12870
French,de Maupassant,La petite roque.txt,40041,11427
French,de Maupassant,Le Horla.txt,40261,11486
French,de Maupassant,Œuvres complètes de Guy de Maupassant.txt,52812,15829
French,diderot,Ceci n'est pas un conte.txt,10434,3896
French,diderot,Entretien d'un päre avec ses enfants.txt,10460,3961
French,diderot,L'oiseau blanc.txt,21127,6741
French,diderot,Les deux amis de Bourbonne.txt,8099,3157
French,diderot,Regrets sur ma vieille robe de chambre.txt,4793,2045
French,sand,cora.txt,12051,4568
French,sand,Jacques le fataliste et son maåtre.txt,84989,19899
French,sand,L' Orco.txt,8558,3326
French,sand,La Coupe; Lupo Liverani; Le Toast; Garnier; Le Contrebandier; La Ràverie Ö Paris.txt,45507,12994
French,sand,La Marquise.txt,14529,5064
French,sand,Le Piccinino.txt,151216,28371
French,sand,Le poâme de Myrza.txt,12565,4587
French,sand,Mattea.txt,20902,6720
French,sand,Metella.txt,19411,6020
French,sand,Oeuvres illustrÇes de George Sand.txt,22545,7858
French,sand,Pauline.txt,27441,8219
